Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
410071;3447952000146;CLINICA ODONTOLOGICA ODONTOPLAN LTDA;ODONTOPLAN;Odontologia de Grupo;RUA BENTO GONALVES;1731;SALA 112;BOA VISTA;Novo Hamburgo;RS;93410395;;;30366610.0;ana@clinicaodontoplan.com.br;ANA GICIELI FRACALOSSI;SCIA ADMINISTRADORA;6.0;1999-12-07
340782;76882612000117;CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;GNDI SUL;Medicina de Grupo;RUA XV DE NOVEMBRO;575;4 E 5 ANDARES ;CENTRO;Curitiba;PR;80020310;41.0;30213000.0;30213060.0;ans@hapvida.com.br;LUIZ CELSO DIAS LOPES;DIRETOR EXECUTIVO;4.0;1998-12-22
417891;9585273000110;CLUBE DE BENEFICIOS PARA COOP., ASS., CONS., SIND. E SEGUROS - CBCACSS;;Administradora de Benefcios;RUA DA ASSEMBLEIA;10;SALA 3811 - A;CENTRO;Rio de Janeiro;RJ;20011000;21.0;84282619.0;;CBCACSS@CBCACSS.COM.BR;ANTONIO CARLOS ANTUNES BASTOS;DIRETOR PRESIDENTE;3.0;2011-02-22
422461;38046343000160;CLUBE SILVER ADMINISTRADORA DE PLANOS DE SAUDE LTDA;AMESADE;Administradora de Benefcios;RUA QUINZE DE NOVEMBRO;228;AP 304;CENTRO;Niteri;RJ;24020125;21.0;35531692.0;;carlaoliveira1986@gmail.com;CARLA NAZAR OLIVEIRA DOS SANTOS;REPRESENTANTE LEGAL;;2021-02-09
415944;51262335000119;CLNICA SO GABRIEL S/S LTDA;;Medicina de Grupo;PRAA DA INDEPENDENCIA;17;;CENTRO;Ferraz de Vasconcelos;SP;8500901;11.0;46755166.0;46765514.0;info@saogabrielsaude.com.br;JOSE CARLOS ABISSAMRA;SOCIO-GERENTE;6.0;2007-03-08
419796;14372148000161;COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA;CODEBA;Autogesto;AV. DA FRANA;1551;ESTAO MARITIMA VISC. DE CAIRU;COMERCIO;Salvador;BA;40010000;71.0;33201294.0;33201302.0;JAILTON@CODEBA.COM.BR;NEWTON FERREIRA DIAS;DIRETOR ADMINISTRATIVO/ FINANC;;2015-06-26
330051;47902648000117;COMPANHIA DE ENGENHARIA DE TRAFEGO - CET;;Autogesto;RUA BARO DE ITAPETININGA;18;;CENTRO;So Paulo;SP;5425904;11.0;30302378.0;30302066.0;dcp@cetsp.com.br;RICARDO RIBEIRO;REPRESENTANTE;;1998-12-28
416509;27316538000166;COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA;CODESA;Autogesto;AVENIDA GETULIO VARGAS;556;;CENTRO;Vitria;ES;29010945;27.0;31327300.0;;autogestao@vports.com.br;SAMUEL GONCALVES DE AGUIAR RIBEIRO;Supervisor de Am de Pessoal;5.0;2008-01-22
392405;28151363000147;COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO;CESAN;Autogesto;AV. GOVERNADOR BLEY;186;3 PAV;CENTRO;Vitria;ES;29010150;27.0;21275000.0;21275353.0;amscesan@cesan.com.br;LEANDRO REZENDE DE ABREU;GERENTE DE RECURSOS HUMANOS;1.0;1998-12-28
334189;26461699000180;COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB;COMPANHIA NACIONAL DE ABASTECIMENTO - C0NAB;Autogesto;"SGAS QUADRA 901, CONJUNTO ""A"", EDIFCIO ";69;ASA SUL;PLANO PILOTO;Braslia;DF;70390010;61.0;33126072.0;;conab.gesas@conab.gov.br;NILDA MARIA DOMINGOS MENDES;SUPERINT DE DESENV. DE PESSOAS;4.0;1999-01-05
420247;23920704000188;COMPAR ADMINISTRADORA DE BENEFICIOS LTDA - ME;COMPAR ADMINISTRADORA DE BENEFICIOS;Administradora de Benefcios;RUA XV DE NOVEMBRO;1234;CONJ 1203, ANDAR 12, COND EUGENIA CAMPOS;CENTRO;Curitiba;PR;80060000;41.0;31140469.0;;COMPAR@COMPARADM.COM.BR;ALMIR RODRIGUES;REPRESENTANTE LEGAL;6.0;2016-10-25
390259;70094578000130;COMSEDER - COOPERATIVA DE ASSISTNCIA MDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA;COMSEDER;Autogesto;AV. MAXIMIANO DE FIGUEIREDO;311;CASA;CENTRO;Joo Pessoa;PB;58013470;83.0;32162904.0;32417196.0;comseder@comseder.com.br;FRANCISCO FERNANDES LISBOA;DIRETOR PRESIDENTE;5.0;1998-12-29
321931;29640612000120;CONFERNCIA SO JOS DO AVA;HOSPITAL SO JOS DO AVA;Filantropia;RUA CORONEL LUIZ FERRAZ;397;;CENTRO;Itaperuna;RJ;28300000;;;;saudeavai@saudeavai.com.br;AUGUSTO CLAUDIO DE ALMEIDA TINOCO;REPRESENTANTE JUNTO A ANS;5.0;1998-12-16
410624;3613857000175;CONFIANA ASSISTNCIA MDICO HOSPITALAR LTDA;CONFIANA SADE;Medicina de Grupo;RUA LORENA;767;;PADRE EUSTQUIO;Belo Horizonte;MG;30730170;31.0;34112025.0;34112025.0;gerencia@confiancasaude.com.br;ROBERTO D'ASSUMPCAO GUIMARAES;ADMINISTRADOR ;4.0;2000-02-21
405931;60537495000114;CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA;CONSTRUDENTE;Odontologia de Grupo;RUA VOLUNTRIOS DA PATRIA;2505;CS 19;SANTANA;So Paulo;SP;2401000;11.0;30786904.0;30786904.0;lia@construdente.com.br;LIA ROSSI GILOS;SCIA ADMINISTRADORA;4.0;1999-06-30
418323;13286268000183;CONTEM ADMINISTRADORA DE PLANOS DE SADE LTDA.;CONTEM ADMINISTRADORA DE BENEFICIOS;Administradora de Benefcios;RUA DO CARMO;08;10 ANDAR;CENTRO;Rio de Janeiro;RJ;20011020;21.0;35274747.0;;juridico@grupocontem.com.br;ANDREA DOS SANTOS MOURA;PRESIDENTE;4.0;2011-12-21
407241;2298249000150;COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLGICO;ODONTOCLASSIC;Cooperativa odontolgica;RUA RIO DE JANEIRO;821;;CENTRO;Avar;SP;18700130;14.0;9292.0;37332022.0;diretoria@odontoclassic.com.br;JOSE ROBERTO SOUTO SILVA;DIRETOR OPERACIONAL;5.0;1999-08-16
367087;87158507000156;COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTNCIA  SADE DO RIO GRANDE DO SUL LTDA.;UNIMED RIO GRANDE DO SUL;Cooperativa Mdica;RUA SANTA TEREZINHA;340;;FARROUPILHA;Porto Alegre;RS;90040180;5.0;132011370.0;133303085.0;unimedrs@unimedrs.com.br;PAULO ROBERTO DE OLIVEIRA WEBSTER;REPRESENTANTE JUNTO A ANS;3.0;1998-12-18
353477;1041724000146;COOPERATIVA DE ASSISTNCIA ODONTOLGICA VALE DO CA LTDA - DENTSUL;DENTSUL;Cooperativa odontolgica;RUA CAPITAO PORFIRIO;1551;;CENTRO;Montenegro;RS;95780000;51.0;36322297.0;516322297.0;gerencia@dentsul.com.br;DENISE GIRON;PRESIDENTE;5.0;1998-12-22
418242;1750093000134;COOPERATIVA DE SADE ODONTOLGICA - UNIODONTO RORAIMA;UNIODONTO DE RORAIMA;Cooperativa odontolgica;AVENIDA CAPITO JULIO BEZERRA;952;;SO FRANCISCO;Boa Vista;RR;69305025;95.0;36234900.0;36234900.0;diretoria@uniodontorr.com.br;GILENIO PINHEIRO DA SILVA;PRESIDENTE;6.0;2011-09-27
313084;25064148000110;COOPERATIVA DE TRABALHO MEDICO DE ARAGUANA - UNIMED ARAGUANA;UNIMED DE ARAGUAINA;Cooperativa Mdica;AVENIDA TOCANTINS;1232;LT- 17 QD RT-1;CENTRO;Araguana;TO;77803120;;;;gerente@unimedaraguaina.com.br;RENATO BORGES AZEVEDO;PRESIDENTE;5.0;1998-12-24
318213;85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIO DO PLANALTO SERRANO;UNIMED LAGES;Cooperativa Mdica;RUA FREI GABRIEL;115;;CENTRO;Lages;SC;88502030;49.0;32216600.0;;adriana.zampirolo@unimedlages.coop.br;ALCEU FERNANDES FILHO;PRESIDENTE;5.0;1998-12-17
337188;21490586000190;COOPERATIVA DE TRABALHO MDICO DE POUSO ALEGRE;UNIMED SUL MINEIRA;Cooperativa Mdica;AV. MARECHAL CASTELO BRANCO;75;;CEL EVARISTO AZEVEDO JUNQUEIRA;Pouso Alegre;MG;37550275;35.0;34491800.0;;unimed@unimedsulmineira.com.br;MARCELO COUTO LUNA DE ALMEIDA;DIRETOR PRESIDENTE;5.0;1998-12-18
317012;85177194000158;COOPERATIVA DE TRABALHO MDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA;UNIMED PLANALTO NORTE;Cooperativa Mdica;AVENIDA DOM PEDRO II;373;-;CENTRO;So Bento do Sul;SC;89280136;47.0;36314183.0;36314183.0;alisson.schneider@upn.unimedsc.com.br;ERI GARCIA BUEMO;PRESIDENTE;5.0;1998-12-17
419028;25906728000108;COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUB;;Cooperativa odontolgica;RUA ALCIDES FARIA;240;;VARGINHA;Itajub;MG;37501058;35.0;36220258.0;36220258.0;uniodonto@uniodontoitajuba.com.br;ALEXANDRE JULIO DIELLE;DIRETOR PRESIDENTE;5.0;2013-09-11
359459;2725037000102;COOPERATIVA DOS CIRURGIES DENTISTAS DO ESTADO DE SERGIPE;COOPERDONTO;Cooperativa odontolgica;AVENIDA BARO DE MARUIM;993;;CENTRO;Aracaju;SE;49015040;79.0;32146343.0;32145556.0;contato@cooperdonto-se.com.br;JOO TELES DE MELO FILHO;PRESIDENTE;3.0;1998-12-30
404241;72350382000194;COOPERATIVA DOS USURIOS DE SERVIOS DE SADE DO VALE DO RIO DOS SINOS LTDA;COOPERSINOS LTDA;Autogesto;AV. UNISINOS;950;CENTRO COMUNIT;CRISTO REI;So Leopoldo;RS;93022000;51.0;35908509.0;35908590.0;clovisk@unisinos.br;CLVIS ANTNIO KRONBAUER;PRESIDENTE;6.0;1999-05-19
406805;3268622000193;COOPERATIVA DOS USURIOS DE SERVIOS DE SADE LTDA.;COOPUSADE;Medicina de Grupo;PEDRO ALVARES CABRAL;900;;CENTRO;Erechim;RS;99700252;54.0;35202900.0;35226869.0;administracao@coopusaude.coop.br;DILVA MARIA GALINA LOCH;VICE-PRESIDENTE;5.0;1999-08-02
400572;2947180000149;COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLGICA DE BOTUCATU;EVIDENTE;Cooperativa odontolgica;RUA DR CARDOSO DE ALMEIDA;579;;CENTRO;Botucatu;SP;18600005;14.0;38824142.0;38824142.0;evidente@evidente.com.br;JOO ANTONIO GODOY;PRESIDENTE;5.0;1999-02-18
342335;1501597000110;COOPERATIVA ODONTOLGICA DE GARANHUNS E AGRESTE MERIDIONAL.;UNIODONTO GARANHUNS;Cooperativa odontolgica;R DR JOSE MARIANO;193;;SAO JOSE;Garanhuns;PE;55293335;87.0;37621760.0;37621760.0;uniodonto@uniodontogaranhuns.coop.br;DANIEL VALENCA ARRUDA VIEIRA;PRESIDENTE;5.0;1998-12-18
365785;2254846000183;COOPERATIVA ODONTOLGICA DO ESTADO DO AMAP;UNIODONTO AMAP;Cooperativa odontolgica;RUA MARCELO CNDIA;925;;SANTA RITA;Macap;AP;68901341;96.0;91515691.0;;uniodontoap@uniodontoap.com.br;CLAUDIO VALENTE CALANDRINI DE AZEVEDO;DIRETOR PRESIDENTE;6.0;1999-01-04
409791;3494031000134;COOPERATIVA ODONTOLGICA POOS DE CALDAS;UNIODONTO POOS DE CALDAS;Cooperativa odontolgica;RUA PARAIBA ;212;;CENTRO ;Poos de Caldas;MG;37701726;35.0;37167222.0;37167222.0;ouvidoria@uniodontopocos.com.br;FERNANDO DE PAIVA POSSO;PRESIDENTE;5.0;1999-11-11
402010;491998000174;COOPERATIVA ODONTOLGICA REGIO SUL DA BAHIA - UNIODONTO;UNIODONTO ITABUNA;Cooperativa odontolgica;RUA MARI FERREIRA;245;1 ANDAR;CENTRO;Itabuna;BA;45600120;7.0;336134760.0;36134760.0;uniodontoitb@gmail.com;MARIO AUGUSTO DIAS BRUM;PRESIDENTE;5.0;1999-03-12
353892;19052653000142;COOPERCISO - CENTRO INTEGRADO DE SERVIO ODONTOLGICO S/S LTDA.;COOPERCISO;Odontologia de Grupo;RUA JAIME MARTINS RIRA;31;;BOA VISTA;Itajub;MG;37505042;35.0;36234600.0;36234600.0;cooperciso@cooperciso.com.br;LUCAS PEREIRA GONALVES;DIRETOR ADMINISTRATIVO;5.0;1999-01-25
418757;73505463000189;CORPLIFE ADMINISTRADORA DE BENEFCIOS LTDA ;CORPLIFE ADMINISTRADORA DE BENEFCIOS LTDA ;Administradora de Benefcios;RUA VITRIA;2296;;NEVA;Cascavel;PR;85802229;45.0;32240204.0;;corplife@corplife.com.br;ARISTIDES ALVES DOS REIS;ADMINISTRADOR;6.0;2013-01-11
418960;17670901000193;CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA;;Administradora de Benefcios;ALAMEDA RIO NEGRO;500;9 ANDAR / SALA 901 A 916 / TORRE 2;ALPHAVILLE CENTRO INDUSTRIAL E;Barueri;SP;6454000;11.0;43494200.0;;valquiria.brovini@corpesaude.com.br;DIRCEU CANAL;SCIO ADMINISTRADOR;4.0;2013-08-01
368181;19009638000111;CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA;CROE-CENTRO DE REABILITAAO ORAL ESPECIALIZADO LTDA;Odontologia de Grupo;OSCAR VIDAL ;252;Sala 201;CENTRO;Juiz de Fora;MG;36016290;32.0;33116699.0;;ceaccroe@croe.com.br;CLAUDIA CABRINI PINTO DE LUCCA;SOCIO QUOTISTA;6.0;1999-01-05
397245;69099307000198;CROWN ODONTOLOGIA DE GRUPO LTDA;CROWN ODONTOLOGIA DE GRUPO LTDA;Odontologia de Grupo;RUA PEQUETITA;145;CONJ. 101;JARDIM PROF BENO;So Paulo;SP;4552060;11.0;28132000.0;28132001.0;crown@crownodonto.com.br;WALTER CARMO CORIOLANO JUNIOR;SOCIO ADMINISTRADOR;4.0;1998-12-24
421952;33803129000197;CRZ PLANO ODONTOLGICO LTDA;CRUZ DENTAL;Odontologia de Grupo;AVENIDA RODOVALHO;722;SALA 13;VILA MOEMA;Tubaro;SC;88705091;48.0;31910205.0;;crzdental@gmail.com;DANIELE NIEHUES CRUZ;SCIA-ADMINISTRADORA;5.0;2019-12-03
422045;34824393000170;CTESK ADMINISTRADORA DE BENEFICIOS LTDA;CTESK ADMINISTRADORA DE BENEFICIOS ;Administradora de Benefcios;Q SCN QUADRA 02, BLOCO D, ENTRADA B;SN;SALAS 201 E 203;ASA NORTE;Braslia;DF;70712904;61.0;32573926.0;;siloe@ctesk.com.br;SILO JOO DE ALMEIDA JUNIOR;Administrador;;2019-12-18
419737;11973274000183;D1 ADMINISTRADORA DE BENEFCIOS PRIVADOS DE ASSISTNCIA A SADE  COLETIVOS LTDA;;Administradora de Benefcios;RUA DOS CEDROS;501;SALA 03;JARDIM SO PAULO;Americana;SP;13468020;19.0;34622553.0;;celso@solucaodinamica.com.br;CELSO RONALDO SOARES;SCIO;6.0;2015-04-06
416118;253137000158;DANA INDUSTRIAS LTDA.;;Autogesto;AVENIDA FERNANDO STECCA;780;PRDIO 26 - ADMINISTRAO;IPORANGA;Sorocaba;SP;18087149;;;;juliana.miranda@dana.com;JULIANA DOS REIS MIRANDA;COORDENADORA DE RH;;2007-06-14
421081;27832058000158;DELFHI PLANOS ODONTOLGICOS LTDA;DELFHI ODONTO;Odontologia de Grupo;AV. PRUDENTE DE MORAIS;624;;TIROL;Natal;RN;59020510;84.0;999862109.0;;delfino@delfhicorretora.com.br;FRANCISCO DELFINO DA SILVA;SCIO ADMINISTRADOR;5.0;2017-10-02
420239;24619902000179;DENTAL CARE ASSISTNCIA ODONTOLGICA LTDA;DENTAL CARE;Odontologia de Grupo;RUA DO IMPERADOR;359;;CENTRO;Macei;AL;57020670;82.0;30220163.0;30220163.0;financeiro@planodentalcare.com.br;LEONINO VIEIRA DA SILVA FILHO;SCIO ADMINISTRADOR;5.0;2016-10-25
386219;66493529000100;DENTAL CARE CLINICA ODONTOLOGICA LTDA;ODONTOLOGICA;Odontologia de Grupo;RUA MATO GROSSO;1001;;CENTRO;Avar;SP;18700150;14.0;37322286.0;37322286.0;odontologica_avare@terra.com.br;HILTON SERGIO ISMAEL LUTTI;SOCIO;5.0;1999-01-20
339458;35436658000125;DENTAL CENTER LTDA;DENTAL CENTER LTDA;Odontologia de Grupo;RUA DES. JOSE PEREGRINO;216;;CENTRO;Joo Pessoa;PB;58013500;83.0;30414646.0;;financeiro@dentalcenterpb.com.br;MARCONI MARTINS DA SILVA;SOCIO GERENTE;5.0;1999-01-15
300730;1402285000150;DENTAL GOLD ASSISTNCIA ODONTOLGICA LTDA.;DENTAL GOLD;Odontologia de Grupo;AVENIDA RUY CARNEIRO;895;;JARDIM MIRAMAR;Joo Pessoa;PB;58032101;83.0;21078900.0;21078914.0;gerencia@dentalgold.com.br;JOSUEL GOMES DA SILVA;SOCIO-GERENTE;5.0;1998-12-22
413747;4212174000179;DENTAL MASTER LTDA - EPP;DENTAL MASTER;Odontologia de Grupo;AVENIDA CARAVELAS;03;SALA 32 - ED. GALERIA DIVAMAR;PRAIA DO FRANCES;Marechal Deodoro;AL;57160000;82.0;21239393.0;;financeiro@master.dental;GEORGE DE ALMEIDA SALDANHA;REPRESENTANTE;5.0;2001-05-25
314366;571628000147;DENTAL PLUS CONVNIO ODONTOLGICO LTDA.;DENTAL PLUS CONVNIO ODONTOLGICO;Odontologia de Grupo;RUA DOUTOR CESRIO MOTA;135;;CENTRO;Santo Andr;SP;9010100;11.0;49792200.0;;administrativo@dentalplus-sorria.com.br;GABRIELA GONSALES FERNANDES BARCELLOS;SCIA;6.0;1998-12-23
304484;78738101000151;DENTAL UNI - COOPERATIVA ODONTOLGICA;DENTAL UNI;Cooperativa odontolgica;RUA IRM FLAVIA BORLET;197;;HAUER;Curitiba;PR;81630170;41.0;30203950.0;;diretoria@dentaluni.com.br;LUIZ HUMBERTO DE SOUZA DANIEL;PRESIDENTE;4.0;1998-12-22
423050;43192903000124;DENTAL WHITE PLANO DE ASSISTNCIA ODONTOLGICA LTDA;DENTAL WHITE;Odontologia de Grupo;RUA DEPUTADO JOS LAGES;275;;PONTA VERDE;Macei;AL;57035330;82.0;30214141.0;;contato@planodentalwhite.com.br;CRISTIANO MORAES DOS SANTOS;DIR ADM FIN;;2021-11-22
333620;73193000100;DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA;ORALMED ASSISTENCIA ODONTOLOGICA;Odontologia de Grupo;AV. RIO DE JANEIRO;1201;TERREO;CENTRO;Londrina;PR;86010150;43.0;33247000.0;33247000.0;oralmed@onda.com.br;ROBERTO PRESCINOTTI;SOCIO ADMINISTRADOR;6.0;1999-01-25
401463;1364933000120;DENTALMASTER COMRCIO DE PLANOS ODONTOLGICOS LTDA;DENTALMASTER;Odontologia de Grupo;RUA CARLOS VASCONCELOS ;1482;;ALDEOTA;Fortaleza;CE;60115171;85.0;32655555.0;32655555.0;dentalmaster@planodentalmaster.com.br;FRANCISCO FERNANDO ROCHA NOVAIS;SCIO;6.0;1999-03-04
422975;39527909000138;DENTALMASTER LTDA;DENTALMASTER;Odontologia de Grupo;AV. DOM PEDRO II;421.0;SALA A ;CENTRO ;So Loureno;MG;37465000;35.0;988970186.0;;administrativo@dentalmastermg.com.br;DANIEL PEREIRA PAIVA ;Scio administrador ;;2021-10-04
322890;2156150000114;DENTALPAR ASSISTNCIA ODONTOLGICA EMPRESARIAL LTDA.;DENTALPAR;Odontologia de Grupo;AV. SANTO AMARO;3330;CONJUNTO 13;BROOKLIN;So Paulo;SP;4556300;11.0;50944002.0;33052151.0;armando@dentalpar.com.br;ARMANDO RODRIGUES FILHO;DIRETOR PRESIDENTE;4.0;1998-12-30
416908;5616674000139;DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA;DENTALPLAN VALE DO SO FRANCISCO;Odontologia de Grupo;RUA CASTRO ALVES;352;;CENTRO;Petrolina;PE;56304340;;;;gerencia@dentalplanvsf.com.br;DIGENES CAVALCANTI;DIRETOR ADMINISTRATIVO E FINANCEIRO;5.0;2009-03-02
327867;1060301000173;DENTIO CONVNIOS ODONTOLGICOS LTDA;DENTALPREV;Odontologia de Grupo;RUA ELIZEU DI BERNARDI;34;SALA 411;CAMPINAS;So Jos;SC;88101050;;;;financeirofloripa@dentalprev.com.br;CLAUDIO JOAO BUCCO;ADMINISTRADOR;5.0;1998-12-21
414425;3113408000168;DENTSY ODONTOLOGIA S/S LTDA.;DENTSY ODONTOLOGIA;Odontologia de Grupo;RUA CANDIDO PORTINARI;30;SALA 1;VILA CERCADO GRANDE;Embu das Artes;SP;6804180;11.0;32842180.0;;oscar@dentsy.com.br;OSCAR COELHO DE OLIVEIRA;SOCIO ADMINISTRADOR;4.0;2003-01-13
357669;19969500000164;DESBAN - FUNDAO BDMG DE SEGURIDADE SOCIAL;DESBAN;Autogesto;RUA BERNARDO GUIMARES;1587;9 ANDAR;LOURDES;Belo Horizonte;MG;30140082;31.0;32498500.0;32498506.0;desban@desban.org.br;JULIANA RODRIGUES DE PAULA CHIARI;REPRESENTANTE LEGAL;4.0;1998-12-18
423271;45768601000187;DIXMED ADMINISTRADORA DE BENEFICIOS LTDA ;DIXMED;Administradora de Benefcios;RUA LAURO MULLER;116;32 ANDAR;BOTAFOGO;Rio de Janeiro;RJ;22290160;21.0;98801173.0;;contato@dixmed.com.br;RICARDO ESCRCIO DE AZEVEDO;REPRESENTANTE LEGAL;;2022-06-14
349682;1387625000110;DOCTOR CLIN OPERADORA DE PLANOS DE SADE LTDA.;DOCTOR CLIN;Medicina de Grupo;Rua Sete de Setembro;769;;CENTRO HISTRICO;Porto Alegre;RS;90010190;51.0;32548000.0;35840320.0;contabilidade@doctorclin.com.br;MARCELO SANCHES DIETRICH;SCIO ADMINISTRADOR;4.0;1998-12-22
365645;30505523000150;DONA SADE CLINICAS LTDA ;DONA SADE.;Medicina de Grupo;PRAA VISCONDE DE MAUA;29;SALA 504;CENTRO;Santos;SP;11010000;21.0;25935425.0;38996196.0;administracao@donasaude.com;ROGRIO MARQUES SEVERINO;SOCIO;4.0;1998-12-21
423653;47058412000146;DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA;DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA;Odontologia de Grupo;Avenida Paran;130;Sala 115;Centro;Ivaipor;PR;86870000;43.0;43999351808.0;;dr.diaplanos@gmail.com;REGINALDO JOS DA SILVA;Scio-Administrador;;2023-08-07
416282;7893499000152;E.X.M BRASIL SADE LTDA;AMEX SADE;Medicina de Grupo;AV. TANCREDO NEVES;620;EDIF. MUNDO PLAZA, SALA 2310 A 2315;CAMINHO DAS RVORES;Salvador;BA;41820020;71.0;30323900.0;33415752.0;amexsaude@amexsaude.com.br;LUCIVAL OLIVEIRA  ALVES;REPRESENTANTE LEGAL;6.0;2007-07-30
418927;17312105000189;EASY SAUDE ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefcios;AVENIDA JOO CABRAL DE MELO NETO;850;BLOCO 2, SALAS 722 E 723;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775057;21.0;21235500.0;;gabriela@easysaude.com;AGENOR PITTA LIMA MEDEIROS;ADMINISTRADOR;6.0;2013-06-13
421120;27252086000104;EASYPLAN ADMINISTRADORA DE BENEFICIOS LTDA.;EASYPLAN ADMINISTRADORA;Administradora de Benefcios;SCN Quadra 5, Bloco A, Ed. Brasilia Sho;Sala 217 e 218;Parte 6;Asa Norte;Braslia;DF;70715900;61.0;41414700.0;;relacionamentoans@easyplan.com.br;ROSILANE DE ALMEIDA MORAES;SCIA-DIRETOR;4.0;2017-12-18
342611;49320799000192;ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL;;Autogesto;RUA QUIRINO DE ANDRADE;185;;CENTRO;So Paulo;SP;1049902;11.0;45805675.0;;celuladeregulacao@economus.com.br;MAURCIO APARECIDO LOPES;DIRETOR DE SEGURIDADE;2.0;1998-12-21
417343;39245402000191;ECS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefcios;RUA BARO DE MESQUITA;663;LOJA 20;TIJUCA;Rio de Janeiro;RJ;20540155;21.0;28413286.0;;ECS_A@YAHOO.COM;EDINOR CONCEIO SILVA;REPRESENTANTE;4.0;2010-06-23
422070;34844263000107;ELETROS SADE - ASSOCIAO DE ASSISTNCIA  SADE;ELETROS-SADE;Autogesto;RUA URUGUAIANA;174;SALA 501;CENTRO;Rio de Janeiro;RJ;20050900;21.0;21386000.0;;governanca@eletrossaude.com.br;ROGRIO CARLOS LAMIM BRAZ;Diretor Presidente;;2019-12-11
417297;11593821000103;ELOSADE - ASSOCIAO DE ASSISTNCIA  SADE;ELOSADE;Autogesto;RUA PRESIDENTE NEREU RAMOS;146;1 ANDAR -  CENTRO EMPRESARIAL ILHA DO A;CENTRO;Florianpolis;SC;88015010;48.0;21077539.0;21077510.0;elosaude@elosaude.com.br;JEFERSON NUNES;DIRETOR PRESIDENTE;6.0;2010-06-09
400891;352294000110;EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTURIA;INFRAERO;Autogesto;SCS QUADRA 3 BLOCO A/B N 17/18 ED. OSCA;17;;ASA SUL;Braslia;DF;70303000;61.0;3222.0;512.0;beneficio_sede@infraero.gov.br;GILVANDRO VASCONCELOS COELHO DE ARAJO;REPRESENTANTE LEGAL;1.0;1999-02-19
395480;37135365000133;ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.;SMILE ;Medicina de Grupo;RUA DOUTOR JOSE MILTON CORREIA ;110;3, 4 e 5 ANDARES;POO;Macei;AL;57025100;8.0;221237333.0;;ans.matriz@smilesaude.com.br;FREDERICO VALENTE COELHO ;DIRETOR PRESIDENTE ;5.0;1998-12-16
422576;37442364000131;ESPLENDOR ADMINISTRADORA DE BENEFCIOS LTDA.;ESPLENDOR ADMINISTRADORA DE BENEFCIOS  ;Administradora de Benefcios;QNM 17, CONJUNTO H, LOTE 28, SALA 201;S/N;;CEILANDIA;Braslia;DF;72215178;61.0;982080903.0;;saudebrasilia2@gmail.com;EDILAMAR LIMA DA SILVA;Administradora ;4.0;2021-03-26
417441;1856107000107;EV ADMINISTRADORA DE BENEFCIOS LTDA;;Administradora de Benefcios;RUA ELIEZER LEVY;2745;;TREM;Macap;AP;68901016;91.0;32421016.0;32244459.0;ev.corretora@uol.com.br;VERA MARIA RESQUE VIEIRA ATHIAS;SCIO-ADMINISTRADOR;3.0;2010-07-16
401480;2989632000155;EVANGELICO SAUDE LTDA.;MEDSUL SAUDE;Medicina de Grupo;RUA SALDANHA MARINHO;2250;;BIGORRILHO;Curitiba;PR;80730180;41.0;30234442.0;30234442.0;jonis.jensen@medsulsaude.com.br;JEFFERSON BUENO MACHADO;ADMINISTRADOR;4.0;1999-03-04
423700;49754083000101;EVO SAUDE ASSISTENCIA MEDICA LTDA;EVO SADE;Medicina de Grupo;QUADRA SAUS - QUADRA 4;S/N;BLOCO A,SALA 1101;ASA SUL;Braslia;DF;70070040;61.0;982730004.0;;salgado.brunna@gmail.com;BRUNNA CERQUEIRA SALGADO LIMA;DIRETORA ADMINISTRATIVA E;;2023-09-12
